,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team_id,home_team_abbreviation,home_team_city,home_team_conference,home_team_division,home_team_full_name,home_team_name,visitor_team_id,visitor_team_abbreviation,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_team_full_name,visitor_team_name,win_team,loss_team
11,31184,2014-05-15T00:00:00.000Z,80,4,True,2013,Final, ,93,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,Indiana Pacers,Washington Wizards
12,32561,2015-04-18T00:00:00.000Z,86,4,True,2014,Final, ,93,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,Washington Wizards,Toronto Raptors
13,32562,2015-04-19T00:00:00.000Z,107,4,True,2014,Final, ,92,13,LAC,LA,West,Pacific,LA Clippers,Clippers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,LA Clippers,San Antonio Spurs
14,32563,2015-04-20T00:00:00.000Z,97,4,True,2014,Final, ,87,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,Golden State Warriors,New Orleans Pelicans
15,32564,2015-04-21T00:00:00.000Z,99,4,True,2014,Final, ,91,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Cleveland Cavaliers,Boston Celtics
16,32565,2015-04-22T00:00:00.000Z,107,4,True,2014,Final, ,111,13,LAC,LA,West,Pacific,LA Clippers,Clippers,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,San Antonio Spurs,LA Clippers
17,32566,2015-04-23T00:00:00.000Z,95,4,True,2014,Final, ,103,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Cleveland Cavaliers,Boston Celtics
18,32567,2015-04-24T00:00:00.000Z,100,4,True,2014,Final, ,73,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,13,LAC,LA,West,Pacific,LA Clippers,Clippers,San Antonio Spurs,LA Clippers
19,32568,2015-04-25T00:00:00.000Z,91,4,True,2014,Final, ,83,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,Brooklyn Nets,Atlanta Hawks
20,32569,2015-04-25T00:00:00.000Z,109,4,True,2014,Final, ,115,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,Memphis Grizzlies,Portland Trail Blazers
21,32570,2015-04-26T00:00:00.000Z,93,4,True,2014,Final, ,101,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,Cleveland Cavaliers,Boston Celtics
22,32795,2016-04-16T00:00:00.000Z,102,4,True,2015,Final, ,101,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,Atlanta Hawks,Boston Celtics
23,32796,2016-04-17T00:00:00.000Z,106,4,True,2015,Final, ,74,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,San Antonio Spurs,Memphis Grizzlies
24,32797,2016-04-18T00:00:00.000Z,84,4,True,2015,Final, ,85,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,Dallas Mavericks,Oklahoma City Thunder
25,32798,2016-04-20T00:00:00.000Z,115,4,True,2015,Final, ,103,16,MIA,Miami,East,Southeast,Miami Heat,Heat,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,Miami Heat,Charlotte Hornets
26,32799,2016-04-21T00:00:00.000Z,97,4,True,2015,Final, ,96,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,Houston Rockets,Golden State Warriors
